event_id,event_date,measure,pre_mean,post_mean,delta,pre_sd,post_sd,n_pre,n_post,welch_t,dropped
btc_etf_approval,2024-01-10,C_pca,0.6130468667097422,0.6997774989484745,0.08673063223873234,0.05376189536872618,0.03619522427681577,30,31,7.366849230284469,venue=bitstamp
btc_etf_launch,2024-01-11,C_pairwise,0.5975281612465019,0.6889820472055727,0.09145388595907078,0.061083824451786194,0.03996078898031619,30,31,6.895825451871378,venue=bitstamp
btc_etf_launch,2024-01-11,C_pca,0.6151684779383143,0.6987671559637911,0.08359867802547682,0.05492575745187035,0.03733628006237887,30,31,6.929863632653356,venue=bitstamp
eth_rule_approval,2024-05-23,C_pairwise,0.7680393954123512,0.7217873104181781,-0.046252084994173104,0.03604697755013825,0.02384326883271435,30,31,-5.89059576705783,venue=bitstamp
eth_rule_approval,2024-05-23,C_pca,0.7752242042254226,0.7315686797654078,-0.04365552446001475,0.03459427394262418,0.024671422274431906,30,31,-5.658254119476935,venue=bitstamp
eth_etf_launch,2024-07-23,C_pairwise,0.7271480043718548,0.7583700036492722,0.031221999277417423,0.043094644229012734,0.01855802976861803,30,31,3.653892293330464,venue=bitstamp
eth_etf_launch,2024-07-23,C_pca,0.7338791415319748,0.7737707170507,0.03989157551872524,0.04222367631233852,0.02139761281779112,30,31,4.631123377221439,venue=bitstamp
mica_stablecoin,2024-06-30,C_pairwise,0.7120641230906499,0.7448262953499282,0.032762172259278244,0.03285832059595659,0.02863137868213532,30,31,4.146356039846611,venue=bitstamp
mica_stablecoin,2024-06-30,C_pca,0.7220032466351847,0.7524510025392017,0.03044775590401705,0.03415261941919641,0.0280417695535661,30,31,3.798679438248829,venue=bitstamp
mica_full,2024-12-30,C_pairwise,0.5545890706177307,0.7661385886172197,0.21154951799948907,0.09703156123913258,0.03799193348094831,30,31,11.143475252090216,venue=bitstamp
mica_full,2024-12-30,C_pca,0.5672036127543334,0.7750643911773479,0.20786077842301454,0.09346195613882713,0.03458605513367643,30,31,11.44655391310608,venue=bitstamp
btc_etf_approval,2024-01-10,C_pairwise,0.5909686141817179,0.6951445480091448,0.10417593382742696,0.05943075625743356,0.03978078850116055,30,31,8.018693267988837,asset=BTC
btc_etf_approval,2024-01-10,C_pca,0.6083365537452878,0.7049433610362382,0.09660680729095039,0.05336310788375925,0.03751213318988904,30,31,8.155654472706356,asset=BTC
btc_etf_launch,2024-01-11,C_pairwise,0.5930539568392612,0.6936290120541125,0.10057505521485133,0.06056467810015344,0.04218991143368805,30,31,7.502920497035272,asset=BTC
btc_etf_launch,2024-01-11,C_pca,0.6104620258331425,0.7036032379464189,0.09314121211327642,0.05444772600871204,0.03956647584913708,30,31,7.622278285486615,asset=BTC
eth_rule_approval,2024-05-23,C_pairwise,0.7770741142617985,0.7121692967665503,-0.06490481749524823,0.04297740207906355,0.02274995180262183,30,31,-7.336615125496924,asset=BTC
eth_rule_approval,2024-05-23,C_pca,0.7838815142738434,0.7218753164961451,-0.062006197777698335,0.04129768799848581,0.023276658496303875,30,31,-7.192177570363305,asset=BTC
eth_etf_launch,2024-07-23,C_pairwise,0.7281450077746882,0.7499085512393115,0.02176354346462339,0.04130959530108858,0.01686653302043851,30,31,2.6776997329347587,asset=BTC
eth_etf_launch,2024-07-23,C_pca,0.735255474387315,0.7660969260679225,0.03084145168060748,0.04014957129148918,0.019501071188369315,30,31,3.7963084072254754,asset=BTC
mica_stablecoin,2024-06-30,C_pairwise,0.7046977276260024,0.7437147996213941,0.03901707199539173,0.028207381153172242,0.027318908533841234,30,31,5.48520827956536,asset=BTC
mica_stablecoin,2024-06-30,C_pca,0.7147339174545903,0.7516664178039468,0.03693250034935658,0.02906603938426381,0.026245291202924282,30,31,5.203257315523964,asset=BTC
mica_full,2024-12-30,C_pairwise,0.5579625046102942,0.7752874181434757,0.2173249135331815,0.10059852332819492,0.04225387548357194,30,31,10.93579076278748,asset=BTC
