event_id,treated,outcome,event_time,coef,se,tstat,pval
btc_etf_launch,BTC,log_amihud_illiquidity,18,0.3073713880067681,0.15457018201880104,1.9885555156387225,0.04679704169302901
btc_etf_launch,BTC,log_amihud_illiquidity,19,0.2881122986724178,0.12834486432107373,2.244829196684194,0.024816506814944406
btc_etf_launch,BTC,log_amihud_illiquidity,20,0.3020852397209566,0.1565544485207414,1.9295857931557547,0.05370673014994387
btc_etf_launch,BTC,log_amihud_illiquidity,21,0.3250034386918685,0.1424056260361329,2.28223735071678,0.022511254659045354
btc_etf_launch,BTC,log_amihud_illiquidity,22,0.28769560037904285,0.17801411936676015,1.6161392220035502,0.10611841530963839
btc_etf_launch,BTC,log_amihud_illiquidity,23,0.06169037373207326,0.2858062474564627,0.2158468342840219,0.8291147042356863
btc_etf_launch,BTC,log_amihud_illiquidity,24,0.43188068374118477,0.2826175600376056,1.528145256380099,0.12653082038118613
btc_etf_launch,BTC,log_amihud_illiquidity,25,0.31916579990925664,0.1879450492653316,1.6981867900051681,0.089525967344946
btc_etf_launch,BTC,log_amihud_illiquidity,26,0.2749032308556374,0.18575891426120114,1.4798925367806994,0.13895605338718897
btc_etf_launch,BTC,log_amihud_illiquidity,27,0.32624226393876077,0.16508457555337314,1.9762128766129583,0.048177818396066385
btc_etf_launch,BTC,log_amihud_illiquidity,28,0.0560694896872063,0.14363942411140132,0.390348889478427,0.6962928621025166
btc_etf_launch,BTC,log_amihud_illiquidity,29,0.2850563400210499,0.14210235465173518,2.005993079563437,0.04490317881508843
btc_etf_launch,BTC,log_amihud_illiquidity,30,0.3222931283738767,0.18490275806151257,1.7430412166521483,0.08137922564796041
btc_etf_launch,BTC,log_notional_volume,-30,-0.6017507233351651,0.20950321818213286,-2.87227436674519,0.004090021674187483
btc_etf_launch,BTC,log_notional_volume,-29,-0.5132523165751434,0.1685639765194093,-3.0448517362548393,0.0023383608365465935
btc_etf_launch,BTC,log_notional_volume,-28,-0.498954005441073,0.16101041156357673,-3.0988928019978106,0.0019517185762425449
btc_etf_launch,BTC,log_notional_volume,-27,-0.6335732022936522,0.2246811718397167,-2.81987670397959,0.004820456892901115
btc_etf_launch,BTC,log_notional_volume,-26,-0.7816217828529273,0.32007875506248634,-2.441967079946739,0.014637043111814352
btc_etf_launch,BTC,log_notional_volume,-25,-0.27698177363761317,0.2470692449418117,-1.1210694139727764,0.26230457105182525
btc_etf_launch,BTC,log_notional_volume,-24,-0.3773159943922022,0.1855145981013404,-2.0338884284787504,0.04200810824313561
btc_etf_launch,BTC,log_notional_volume,-23,-0.09816519055746985,0.19440271384808838,-0.5049579227282743,0.6136075090368989
btc_etf_launch,BTC,log_notional_volume,-22,-0.22056526097521312,0.14444814962068112,-1.5269511001311855,0.12682751179719998
btc_etf_launch,BTC,log_notional_volume,-21,-0.6655443250463347,0.18890072800231836,-3.523249127119121,0.0004295637829494492
btc_etf_launch,BTC,log_notional_volume,-20,-0.9278915427985049,0.20027458698700681,-4.633096773574691,3.6808472814175985e-06
btc_etf_launch,BTC,log_notional_volume,-19,-1.2303591790788198,0.2999708805101649,-4.101595384813118,4.159080524490655e-05
btc_etf_launch,BTC,log_notional_volume,-18,-1.2209495110300896,0.28232822774463745,-4.32457470081392,1.5537927533282314e-05
btc_etf_launch,BTC,log_notional_volume,-17,-1.0658460315903477,0.28814071661926427,-3.699046924349491,0.00021840576049680926
btc_etf_launch,BTC,log_notional_volume,-16,-0.7592400129613617,0.18129605861067255,-4.187846215630121,2.857734107886145e-05
btc_etf_launch,BTC,log_notional_volume,-15,-1.0009818518960227,0.20941609771760264,-4.779870615514217,1.797210823273332e-06
btc_etf_launch,BTC,log_notional_volume,-14,-1.1181035389095164,0.20008635574868208,-5.5881048696489195,2.399780929529527e-08
btc_etf_launch,BTC,log_notional_volume,-13,-0.7155501971542342,0.19586396263053454,-3.653301952764037,0.00026116705156375986
btc_etf_launch,BTC,log_notional_volume,-12,-0.6902616222839209,0.26274597415186574,-2.627106369610647,0.00863402051595874
btc_etf_launch,BTC,log_notional_volume,-11,-0.6924118833494841,0.27433064413332586,-2.524004875711111,0.011629018593784624
btc_etf_launch,BTC,log_notional_volume,-10,-0.3832150218084848,0.23436195154250378,-1.6351417936498327,0.10207340494924888
btc_etf_launch,BTC,log_notional_volume,-9,-0.0693835345038963,0.13281207438893322,-0.522418875114549,0.6013986007487753
btc_etf_launch,BTC,log_notional_volume,-8,-0.5169042851376179,0.10552622651257075,-4.898348990770005,9.925914572495032e-07
btc_etf_launch,BTC,log_notional_volume,-7,-0.15727364207062253,0.14821889490392737,-1.06109037024304,0.2886928635452206
btc_etf_launch,BTC,log_notional_volume,-6,-0.133784140856535,0.13647363382954256,-0.9802929481868508,0.32698228143057806
btc_etf_launch,BTC,log_notional_volume,-5,-0.6910552553009753,0.27835830435218284,-2.4826105221083776,0.013070337166857238
btc_etf_launch,BTC,log_notional_volume,-4,-0.5236105543688556,0.2614771651403894,-2.002509680291679,0.04527624922202045
btc_etf_launch,BTC,log_notional_volume,-3,-0.04955798154121006,0.08249501983698541,-0.6007390705419465,0.5480371848054801
btc_etf_launch,BTC,log_notional_volume,-2,0.03264583310612696,0.07952131152951163,0.41052935971776033,0.6814327832898928
btc_etf_launch,BTC,log_notional_volume,0,-0.12293927718217176,0.06611727137859873,-1.8594124442643827,0.0630191260848263
btc_etf_launch,BTC,log_notional_volume,1,0.06831094100547842,0.08532589446370592,0.8005886306241425,0.4234025135697783
btc_etf_launch,BTC,log_notional_volume,2,-0.2524112154107666,0.24606564555715868,-1.0257881177977521,0.3050340998209302
btc_etf_launch,BTC,log_notional_volume,3,-0.4274917642579108,0.20381274393154125,-2.097473180585318,0.03599473546949006
btc_etf_launch,BTC,log_notional_volume,4,-0.1498503882349125,0.21394849116280104,-0.7004040431436649,0.48370300941230004
btc_etf_launch,BTC,log_notional_volume,5,-0.04145798972350449,0.20700491245420297,-0.2002753907237661,0.8412722055222006
btc_etf_launch,BTC,log_notional_volume,6,-0.23513889245654732,0.19690417789416234,-1.1941792955908557,0.2324565081821024
btc_etf_launch,BTC,log_notional_volume,7,-0.009027228110078748,0.15229776130081532,-0.05927354435793943,0.9527362676208746
btc_etf_launch,BTC,log_notional_volume,8,-0.12986893049690443,0.15179234479558565,-0.855569697350648,0.39227105748030966
btc_etf_launch,BTC,log_notional_volume,9,-0.8726711522984503,0.3186305924246958,-2.7388178443810123,0.006184822108772359
btc_etf_launch,BTC,log_notional_volume,10,-0.7504900648509277,0.3098868087361406,-2.421819979726687,0.015473357702117108
btc_etf_launch,BTC,log_notional_volume,11,-0.0740223963642216,0.09633748108042477,-0.7683654952782706,0.4423012490664018
btc_etf_launch,BTC,log_notional_volume,12,-0.26685548799030534,0.12190593766875643,-2.1890278118807203,0.028634406867966256
btc_etf_launch,BTC,log_notional_volume,13,-0.012026781370808074,0.15522424744105628,-0.07748004302855477,0.9382443302800616
btc_etf_launch,BTC,log_notional_volume,14,-0.028166454302411496,0.1884911922303818,-0.1494311430105725,0.88121861666118
btc_etf_launch,BTC,log_notional_volume,15,0.37762798898318756,0.1383986802363326,2.7285519510615406,0.006380411025030508
btc_etf_launch,BTC,log_notional_volume,16,-0.42521808046485393,0.2751851213360238,-1.545207380400583,0.12235047939210952
btc_etf_launch,BTC,log_notional_volume,17,-0.3857564444669558,0.2502462840630792,-1.5415071832583886,0.12324776217397426
btc_etf_launch,BTC,log_notional_volume,18,-0.29868348667504196,0.1660497963592202,-1.7987585243940412,0.07210867817155164
btc_etf_launch,BTC,log_notional_volume,19,-0.2516893207022691,0.17239288073760609,-1.4599751429721608,0.14435087990860063
btc_etf_launch,BTC,log_notional_volume,20,-0.2002250383817799,0.17749039617855528,-1.1280894216966737,0.2593286571764999
btc_etf_launch,BTC,log_notional_volume,21,-0.12779620978463763,0.18084429162483096,-0.7066643278393117,0.47980339235679437
btc_etf_launch,BTC,log_notional_volume,22,-0.1700007535993066,0.19542765500820014,-0.8698909762396391,0.3843958619563008
btc_etf_launch,BTC,log_notional_volume,23,-0.9401161524312772,0.2965034739756767,-3.1706750002814417,0.001528744516911873
btc_etf_launch,BTC,log_notional_volume,24,-0.6232390095210838,0.2622125929178866,-2.376846216978811,0.017493511940569473
btc_etf_launch,BTC,log_notional_volume,25,-0.10269548694308235,0.190100562771744,-0.5402166382136914,0.5890683100562422
btc_etf_launch,BTC,log_notional_volume,26,-0.29900748804822125,0.20091026020712116,-1.48826390319723,0.13673548901538402
btc_etf_launch,BTC,log_notional_volume,27,0.03892418534657991,0.1505251839596848,0.25858918968008027,0.795961369258289
btc_etf_launch,BTC,log_notional_volume,28,0.13279897341961286,0.1544451723842375,0.8598454154930011,0.3899096767865582
btc_etf_launch,BTC,log_notional_volume,29,0.23487153974541072,0.11604078954310995,2.0240429306813215,0.04301132918649553
btc_etf_launch,BTC,log_notional_volume,30,-0.32326094125766536,0.24753005947760656,-1.3059462028162685,0.19162246674104022
btc_etf_launch,BTC,log_high_low_range_bps,-30,-0.2366516020934557,0.04229671431983216,-5.595035120316522,2.3063580156801322e-08
btc_etf_launch,BTC,log_high_low_range_bps,-29,-0.328091005087892,0.03856523073846701,-8.507430107520053,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-28,-0.1907738858602446,0.03306794499464152,-5.769148518033355,8.377644800106054e-09
btc_etf_launch,BTC,log_high_low_range_bps,-27,-0.32314152815231245,0.054331772175092045,-5.947560979806472,2.879954053014444e-09
btc_etf_launch,BTC,log_high_low_range_bps,-26,-0.4232886330292564,0.05614162851890226,-7.539657188368517,5.440092820663267e-14
btc_etf_launch,BTC,log_high_low_range_bps,-25,-0.24965274633364765,0.04060328514095898,-6.14858491048075,8.33717095360953e-10
btc_etf_launch,BTC,log_high_low_range_bps,-24,-0.20350666516196547,0.031023669978069632,-6.559722473383149,5.856115592450806e-11
btc_etf_launch,BTC,log_high_low_range_bps,-23,-0.05157662281649824,0.03067448732762246,-1.681417598463116,0.09273548265848963
btc_etf_launch,BTC,log_high_low_range_bps,-22,-0.07899275378663011,0.02732992491197494,-2.8903392175811824,0.0038624947089540562
btc_etf_launch,BTC,log_high_low_range_bps,-21,-0.3003975700210206,0.048428670012285804,-6.202887049031351,5.925269164208657e-10
btc_etf_launch,BTC,log_high_low_range_bps,-20,-0.5267455817159449,0.03598694035750288,-14.637131595048874,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-19,-0.7968794068284679,0.05864448482897475,-13.588309440391743,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-18,-0.8568598733742765,0.062107888606934156,-13.796313038382868,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-17,-0.5554392007256519,0.05265427607537811,-10.548795693829378,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-16,-0.5418194818710917,0.04205824397175006,-12.882598765536299,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-15,-0.5258231081167026,0.04028776180242855,-13.051683305102491,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-14,-0.7829015071009994,0.046671669494627144,-16.77466256464486,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-13,-0.391271509678141,0.03623012232825132,-10.799618784975438,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-12,-0.407158357147018,0.05012972362674427,-8.12209459159672,6.661338147750939e-16
btc_etf_launch,BTC,log_high_low_range_bps,-11,-0.3368053515983831,0.04613274868405016,-7.3007865606505575,3.2440716779547074e-13
btc_etf_launch,BTC,log_high_low_range_bps,-10,-0.11748798725776771,0.039610897984675014,-2.9660521027122995,0.0030287502858090676
btc_etf_launch,BTC,log_high_low_range_bps,-9,0.15289726178582974,0.0213518702891311,7.160836953175955,9.01057006785777e-13
btc_etf_launch,BTC,log_high_low_range_bps,-8,-0.27931461732907126,0.03172107103557639,-8.805333748529778,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-7,-0.07367391171551732,0.027520102105365422,-2.67709441750776,0.007447200186412095
btc_etf_launch,BTC,log_high_low_range_bps,-6,0.010801944964219757,0.02407985178869361,0.44858851537000216,0.6537452203538274
btc_etf_launch,BTC,log_high_low_range_bps,-5,-0.5795391906677158,0.04228928356657684,-13.704161948152562,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-4,-0.4420361734798836,0.03930196435569901,-11.247177608713745,0.0
btc_etf_launch,BTC,log_high_low_range_bps,-3,-0.19293459233940452,0.02378887449353206,-8.110286696912095,6.661338147750939e-16
btc_etf_launch,BTC,log_high_low_range_bps,-2,-0.09252108659876757,0.027592474737851175,-3.3531275276243253,0.0008041399441209851
btc_etf_launch,BTC,log_high_low_range_bps,0,-0.10164540749928908,0.029083945211361664,-3.4948975030932607,0.00047777695016693045
btc_etf_launch,BTC,log_high_low_range_bps,1,-0.10187534499355083,0.030715622226680953,-3.3167273722053197,0.0009163679187740303
btc_etf_launch,BTC,log_high_low_range_bps,2,-0.10717754379792885,0.038564916059862474,-2.77914630052772,0.005467684624756997
btc_etf_launch,BTC,log_high_low_range_bps,3,-0.3206446485728788,0.0402335536056939,-7.969583092642871,1.7763568394002505e-15
btc_etf_launch,BTC,log_high_low_range_bps,4,-0.07209155649453308,0.036431960260067085,-1.9787998224611683,0.04788561362778121
btc_etf_launch,BTC,log_high_low_range_bps,5,0.0023693179502711436,0.0302821947689691,0.07824128892728216,0.9376388085569944
btc_etf_launch,BTC,log_high_low_range_bps,6,-0.20787076994726694,0.04036669513649461,-5.14956127184501,2.6968239841274055e-07
btc_etf_launch,BTC,log_high_low_range_bps,7,-0.08364791769446303,0.03342864208643962,-2.5022828470916245,0.012366747284810797
btc_etf_launch,BTC,log_high_low_range_bps,8,-0.024673019901026102,0.03603855143680594,-0.6846285135597239,0.49360563128831747
btc_etf_launch,BTC,log_high_low_range_bps,9,-0.5652950170918551,0.06476473217776489,-8.728439045192761,0.0
btc_etf_launch,BTC,log_high_low_range_bps,10,-0.5924136678182075,0.06186338494509696,-9.576159926327469,0.0
btc_etf_launch,BTC,log_high_low_range_bps,11,-0.014074691284214102,0.04288110876851694,-0.32822591785564226,0.742752660334691
btc_etf_launch,BTC,log_high_low_range_bps,12,-0.18822268472916315,0.03355426393160189,-5.609501228006147,2.1225879720532248e-08
btc_etf_launch,BTC,log_high_low_range_bps,13,0.007432412989413566,0.0309185036864196,0.24038721487929315,0.8100385553066696
btc_etf_launch,BTC,log_high_low_range_bps,14,-0.2292191682047899,0.03827307725753104,-5.989044639980867,2.2369861518711787e-09
btc_etf_launch,BTC,log_high_low_range_bps,15,0.20136002883571694,0.03101504029131466,6.49233491055967,9.151146507235808e-11
